query_id,rank,doc_id,score
0,1,150041,18.7230167388916
0,2,721211,17.930255889892578
0,3,353739,17.868282318115234
0,4,721203,16.74139976501465
0,5,914165,16.209701538085938
0,6,150044,16.20143699645996
0,7,49830,16.070491790771484
0,8,49829,15.761761665344238
0,9,574347,15.403376579284668
0,10,574346,15.222233772277832
0,11,890157,15.00936222076416
0,12,558604,14.717994689941406
0,13,467917,14.672564506530762
0,14,567919,14.4012451171875
0,15,426646,14.355478286743164
0,16,930643,14.222188949584961
0,17,325241,14.094541549682617
0,18,153107,13.76563549041748
0,19,473548,13.640811920166016
0,20,884929,13.638130187988281
0,21,10880,13.608528137207031
0,22,844373,13.564641952514648
0,23,377927,13.531466484069824
0,24,765915,13.473554611206055
0,25,40830,13.47043228149414
0,26,40271,13.251419067382812
0,27,193786,13.168134689331055
0,28,752445,13.12580394744873
0,29,855625,13.11048698425293
0,30,99978,13.064504623413086
0,31,114414,13.039324760437012
0,32,494782,13.030152320861816
0,33,449964,13.015643119812012
0,34,134221,12.988814353942871
0,35,52982,12.941468238830566
0,36,38194,12.898300170898438
0,37,291973,12.889031410217285
0,38,132946,12.862906455993652
0,39,844368,12.845929145812988
0,40,16803,12.80319595336914
0,41,934964,12.78719711303711
0,42,418914,12.786367416381836
0,43,64829,12.782907485961914
0,44,82712,12.773280143737793
0,45,887179,12.767305374145508
0,46,437368,12.74288272857666
0,47,449955,12.7152681350708
0,48,557565,12.708500862121582
0,49,47735,12.640677452087402
0,50,418910,12.606468200683594
1,1,378374,22.697593688964844
1,2,413900,18.648361206054688
1,3,413899,18.49155616760254
1,4,413901,18.098426818847656
1,5,112127,18.04287338256836
1,6,112132,17.603530883789062
1,7,364139,17.316951751708984
1,8,112130,17.070209503173828
1,9,413893,16.60489845275879
1,10,112131,16.31110954284668
1,11,718826,16.1588134765625
1,12,185986,16.00594711303711
1,13,986477,15.610976219177246
1,14,316283,15.569890022277832
1,15,343711,15.446199417114258
1,16,413897,15.273089408874512
1,17,628067,15.184475898742676
1,18,413898,15.177127838134766
1,19,385343,15.044923782348633
1,20,914013,14.927926063537598
1,21,683066,14.896332740783691
1,22,316277,14.821226119995117
1,23,627808,14.805452346801758
1,24,914014,14.749288558959961
1,25,627809,14.722111701965332
1,26,873755,14.671031951904297
1,27,853797,14.636941909790039
1,28,98587,14.422436714172363
1,29,413894,14.414042472839355
1,30,545938,14.311471939086914
1,31,413902,14.31085205078125
1,32,615012,14.20612907409668
1,33,378379,14.195019721984863
1,34,236132,14.162301063537598
1,35,584924,14.162215232849121
1,36,910679,14.096073150634766
1,37,401352,14.06301498413086
1,38,627805,13.946499824523926
1,39,908886,13.905661582946777
1,40,696864,13.879182815551758
1,41,29510,13.854804992675781
1,42,413896,13.852401733398438
1,43,683064,13.809540748596191
1,44,364144,13.806160926818848
1,45,683060,13.757611274719238
1,46,545935,13.715632438659668
1,47,873759,13.71080207824707
1,48,627813,13.703369140625
1,49,51717,13.69931697845459
1,50,986476,13.686302185058594
2,1,217531,20.835485458374023
2,2,859234,20.432456970214844
2,3,968888,20.06975746154785
2,4,376077,19.65716552734375
2,5,154239,19.1189022064209
2,6,376079,19.086721420288086
2,7,376080,18.983905792236328
2,8,813076,18.365217208862305
2,9,597645,18.2843017578125
2,10,818292,18.271066665649414
2,11,643512,18.14581298828125
2,12,890222,17.799100875854492
2,13,156974,17.74610710144043
2,14,859231,17.669601440429688
2,15,34294,17.616432189941406
2,16,221402,17.427400588989258
2,17,968891,17.327064514160156
2,18,890219,17.29351043701172
2,19,710585,17.179311752319336
2,20,154240,17.075801849365234
2,21,999290,16.968408584594727
2,22,493696,16.86446762084961
2,23,740662,16.830347061157227
